message,expected
What's the weather forecast in Paris this weekend?,escalate
Can you help me write a poem about the ocean?,escalate
Which stock should I invest my savings in right now?,escalate
"My doctor prescribed a new medication, is it safe to take with alcohol?",escalate
I'd like to dispute this charge through my lawyer and take legal action.,escalate
Translate this paragraph into German for my school essay.,escalate
What is the meaning of life?,escalate
Can you recommend a good restaurant near the Eiffel Tower?,escalate
I think one of your employees was extremely rude and I want them fired.,escalate
Help me solve this calculus integral for my homework.,escalate
What are your thoughts on the upcoming election?,escalate
Can I get your CEO's personal phone number?,escalate
How do I hack into someone else's account?,escalate
Write me a cover letter for a marketing job.,escalate
Is it going to rain tomorrow where I live?,escalate
